A,B,C,D,E,F,G,H,Target
1.6789795976550912,-2.1461855770235543,0.633659591995445,-1.2081788236455882,-1.303613446519653,-1.2472807903105119,2.509416948920153,-0.5060567211787639,0
2.421303737306557,1.618663149456994,3.508373070844088,-0.10735479071401643,1.4577587169344755,0.5940637787677451,2.051794937994618,-1.2903586695774425,0
0.6296698130000764,1.5912735652286307,2.6470799705419474,-0.5461110027385696,-1.2287296558843601,-1.3215212018366107,-1.3569704175191022,-0.023049948989945834,1
1.4768578217735895,0.057946153205455486,2.500312219501289,-0.8327052186054525,-2.51012077272433,0.04508579100989851,0.18211305586795257,0.3056854153942248,0
0.31849262393983035,-0.23775497143757196,1.7353109602141206,1.7046510059281352,-1.1689783839141445,-0.09199960485993808,0.14089639325840056,-1.03781187151971,1
-0.9918357292975035,1.81229735566852,0.9439240484780105,0.13227279049742133,-0.41624157549473106,1.118687506567022,-2.3444786956228594,0.23399537956610117,0
2.7792484857701103,-0.7316744328960201,4.476032839207917,-0.24936410162594572,-0.8336396004040348,1.3236867191997346,3.51567700339817,-2.669735415076142,1
0.9494912492578362,-1.0325202594849832,2.099165402265957,1.745871336135157,-1.3130126035445797,-2.719325325440596,0.9647060603490625,-1.672760912060049,2
-0.11869934377368807,0.7277205606175767,1.7256467578922843,-0.7150632206374263,-1.1912158708624745,-1.5876907126306752,-1.3499543776286131,-0.4954965187512034,1
0.3374036244924279,-1.981050963663527,-0.43477168947582423,0.18151333150755436,-1.0667979353183414,-2.408764499979738,1.0361379235173112,-0.4878233877658861,0
4.157971401968862,1.7569728679396133,5.322678686386232,0.33869836883918525,2.8328876020476015,2.267345173842433,4.715805835988333,-2.6203175229468436,0
2.5881320974811004,-0.4483060954172704,2.1456733121556226,0.08507903197998995,1.6794504265530872,-0.7693521235786765,3.7478560797301177,-1.8583769776465282,0
2.560255107334543,-0.04274641917895883,1.0767908870249794,-0.2763196351264478,0.45932892415540505,-1.0209550242784657,2.384860125910061,0.5183196086252039,2
1.1606913648849306,0.48684112393255496,-0.5087902719807736,0.7754237330893744,1.4938217343886189,0.7418703526058139,1.3318976110425291,0.9446147899278363,1
2.1437522844294365,1.211242071638312,5.326474810775954,-0.38193227172536476,-1.1689934197719107,-0.8481031457674626,0.8487565889702539,-2.0913758282086743,2
2.6948457259887793,-0.015175310920432672,3.061860153998642,0.17698631145506066,1.540067369865175,-0.5600283918901041,3.5683361508507843,-2.2470855677947856,0
-2.1801591093908503,3.598233326325052,-0.03118109614089663,-1.1548659796745833,-0.733653912635867,-1.4799214253940474,-5.731548835588488,2.168495684709213,2
1.718778711667919,-0.12026632107989244,2.5396704725983597,1.5133362783557256,-2.189016605753036,0.5430380232866816,0.8091971706822163,0.0815117998277135,0
0.2720847331633315,0.9512418996467259,-0.18612478313431605,1.5991566845286143,1.7282943790376961,2.2410544372663965,0.6323680132838005,0.20236956787805482,0
2.56701512929516,0.869393028942363,3.9055726545874383,0.5507877351167638,-1.323517508863151,1.3991562845520225,1.4668615088127133,-0.34029526601193505,1
2.042183617681724,3.7087479308391518,3.7137537092855033,1.8272615049570138,-0.6449498903681192,2.2052451659528605,-1.1180970309365195,1.7151009837597941,2
